"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
158,3,10,5.86274509803922,32.480167980168,0.268635177458707,8.62751154074683,1.22679935859348,4.44230769230769,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.201923076923077,36,-0.00560897435897436
158,3,11,4.48076923076923,34.061611999112,0.274928543678544,10.0525314962815,1.20683458208458,5.54901960784314,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.144230769230769,36,0.00400641025641026
158,4,6,4.09803921568627,31.7757469654528,0.186998132586368,10.4597572362278,1.8501393557423,4.94117647058824,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0576923076923077,36,0.0016025641025641
158,4,7,10.7843137254902,35.5666622048975,0.299913131530779,11.5633080427198,1.61915472191207,5.15686274509804,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.961538461538462,36,-0.0267094017094017
158,4,8,20.2307692307692,33.9763214024078,0.228113732198174,11.7589065181806,1.83880289818114,10.2115384615385,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.69230769230769,36,-0.047008547008547
158,4,9,10.0961538461538,33.9094794216505,0.227802065137591,9.19297876830772,1.43425940938934,5.76923076923077,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.653846153846154,36,-0.0181623931623932
158,4,10,5.29411764705882,33.6829488866254,0.260480505333447,9.14191919191919,1.24254168788728,4.31372549019608,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.150641025641026,36,-0.00418447293447293
158,4,11,4.54,34.7713968253968,0.288111111111111,9.24629365079365,1.05299698412698,4.86538461538461,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0448717948717949,36,0.00124643874643875
158,5,6,3.52941176470588,32.2011671335201,0.086624649859944,11.2600840336134,2.07070028011204,4.26,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0408805031446541,36,0.00113556953179595
158,5,7,9.73584905660377,37.2472480580832,0.280407550274365,10.3119267001342,1.48737567465523,5.45098039215686,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.852201257861635,36,-0.0236722571628232
158,5,8,21.7115384615385,34.0708664056178,0.232407779258911,11.8008433606259,1.79942280958818,11,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.71069182389937,36,-0.0475192173305381
158,5,9,9.90566037735849,33.8409620869943,0.249169901500645,9.20778479905838,1.41758914346844,6.62745098039216,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.547169811320755,36,-0.0151991614255765
