id,bikes,slots,maxcapacity,bike_prop,slots_prop,categoria,canasta_categoria,1,2,3,4
114,1,22,23,0.0434782608696,0.95652173913,1,"[0, 0.25)",1.0,0.0,0.0,0.0
115,2,25,27,0.0740740740741,0.925925925926,1,"[0, 0.25)",1.0,0.0,0.0,0.0
116,10,14,24,0.416666666667,0.583333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
117,18,15,33,0.545454545455,0.454545454545,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
118,5,16,21,0.238095238095,0.761904761905,1,"[0, 0.25)",1.0,0.0,0.0,0.0
119,6,30,36,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
120,16,8,24,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
121,8,10,18,0.444444444444,0.555555555556,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
122,14,16,30,0.466666666667,0.533333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
123,7,23,30,0.233333333333,0.766666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
124,2,33,35,0.0571428571429,0.942857142857,1,"[0, 0.25)",1.0,0.0,0.0,0.0
125,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
126,21,14,35,0.6,0.4,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
127,0,29,29,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
128,2,21,23,0.0869565217391,0.913043478261,1,"[0, 0.25)",1.0,0.0,0.0,0.0
129,4,20,24,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
130,5,16,21,0.238095238095,0.761904761905,1,"[0, 0.25)",1.0,0.0,0.0,0.0
131,12,6,18,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
132,3,21,24,0.125,0.875,1,"[0, 0.25)",1.0,0.0,0.0,0.0
133,5,31,36,0.138888888889,0.861111111111,1,"[0, 0.25)",1.0,0.0,0.0,0.0
134,17,16,33,0.515151515152,0.484848484848,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
135,20,16,36,0.555555555556,0.444444444444,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
136,17,10,27,0.62962962963,0.37037037037,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
137,8,19,27,0.296296296296,0.703703703704,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
138,12,12,24,0.5,0.5,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
139,10,13,23,0.434782608696,0.565217391304,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
140,14,4,18,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
141,2,28,30,0.0666666666667,0.933333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
142,1,29,30,0.0333333333333,0.966666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
143,2,19,21,0.0952380952381,0.904761904762,1,"[0, 0.25)",1.0,0.0,0.0,0.0
144,9,18,27,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
145,23,3,26,0.884615384615,0.115384615385,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
146,10,13,23,0.434782608696,0.565217391304,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
147,2,25,27,0.0740740740741,0.925925925926,1,"[0, 0.25)",1.0,0.0,0.0,0.0
148,1,22,23,0.0434782608696,0.95652173913,1,"[0, 0.25)",1.0,0.0,0.0,0.0
149,3,33,36,0.0833333333333,0.916666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
150,11,16,27,0.407407407407,0.592592592593,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
151,23,4,27,0.851851851852,0.148148148148,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
152,1,29,30,0.0333333333333,0.966666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
153,5,16,21,0.238095238095,0.761904761905,1,"[0, 0.25)",1.0,0.0,0.0,0.0
154,2,31,33,0.0606060606061,0.939393939394,1,"[0, 0.25)",1.0,0.0,0.0,0.0
155,6,27,33,0.181818181818,0.818181818182,1,"[0, 0.25)",1.0,0.0,0.0,0.0
156,1,17,18,0.0555555555556,0.944444444444,1,"[0, 0.25)",1.0,0.0,0.0,0.0
157,8,22,30,0.266666666667,0.733333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
158,8,28,36,0.222222222222,0.777777777778,1,"[0, 0.25)",1.0,0.0,0.0,0.0
159,17,19,36,0.472222222222,0.527777777778,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
160,16,14,30,0.533333333333,0.466666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
161,1,20,21,0.047619047619,0.952380952381,1,"[0, 0.25)",1.0,0.0,0.0,0.0
162,0,26,26,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
163,12,24,36,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
164,3,23,26,0.115384615385,0.884615384615,1,"[0, 0.25)",1.0,0.0,0.0,0.0
165,5,16,21,0.238095238095,0.761904761905,1,"[0, 0.25)",1.0,0.0,0.0,0.0
166,2,21,23,0.0869565217391,0.913043478261,1,"[0, 0.25)",1.0,0.0,0.0,0.0
167,4,20,24,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
168,0,20,20,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
169,14,7,21,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
170,17,4,21,0.809523809524,0.190476190476,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
171,3,24,27,0.111111111111,0.888888888889,1,"[0, 0.25)",1.0,0.0,0.0,0.0
172,7,11,18,0.388888888889,0.611111111111,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
173,16,5,21,0.761904761905,0.238095238095,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
174,15,17,32,0.46875,0.53125,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
175,2,22,24,0.0833333333333,0.916666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
176,11,25,36,0.305555555556,0.694444444444,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
177,4,17,21,0.190476190476,0.809523809524,1,"[0, 0.25)",1.0,0.0,0.0,0.0
178,28,2,30,0.933333333333,0.0666666666667,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
179,5,20,25,0.2,0.8,1,"[0, 0.25)",1.0,0.0,0.0,0.0
180,19,11,30,0.633333333333,0.366666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
181,6,17,23,0.260869565217,0.739130434783,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
182,16,19,35,0.457142857143,0.542857142857,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
183,10,25,35,0.285714285714,0.714285714286,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
184,20,16,36,0.555555555556,0.444444444444,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
185,14,16,30,0.466666666667,0.533333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
186,14,4,18,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
187,18,2,20,0.9,0.1,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
188,2,13,15,0.133333333333,0.866666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
189,0,17,17,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
190,19,5,24,0.791666666667,0.208333333333,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
